 year_start:        1998 ,year_end:        1999
 day_start:           1 , day_end:         730
 cdoms,Kds,pars,mxls, dmxldt_day
  0.4189E+01,  0.5883E-01,  0.2490E+02,  0.3254E+02,  0.2662E+01
  0.4292E+01,  0.5985E-01,  0.2222E+02,  0.3521E+02,  0.0000E+00
  0.4395E+01,  0.6088E-01,  0.1954E+02,  0.3411E+02,  0.0000E+00
  0.4499E+01,  0.6190E-01,  0.2218E+02,  0.3292E+02,  0.0000E+00
  0.4602E+01,  0.6292E-01,  0.2483E+02,  0.3207E+02,  0.9934E+00
  0.4705E+01,  0.6395E-01,  0.1918E+02,  0.3307E+02,  0.8305E+00
  0.4808E+01,  0.6497E-01,  0.1354E+02,  0.3390E+02,  0.2950E+00
  0.4911E+01,  0.6600E-01,  0.2457E+02,  0.3419E+02,  0.8015E+00
  0.5014E+01,  0.6702E-01,  0.1476E+02,  0.3499E+02,  0.2374E+00
  0.5117E+01,  0.6805E-01,  0.2380E+02,  0.3523E+02,  0.0000E+00
  0.5221E+01,  0.6907E-01,  0.1340E+02,  0.3510E+02,  0.3051E-01
  0.5324E+01,  0.7010E-01,  0.1576E+02,  0.3513E+02,  0.0000E+00
  0.5427E+01,  0.7112E-01,  0.1974E+02,  0.3392E+02,  0.0000E+00
  0.5530E+01,  0.7215E-01,  0.2371E+02,  0.3290E+02,  0.6273E+00
  0.5633E+01,  0.7317E-01,  0.1923E+02,  0.3352E+02,  0.0000E+00
  0.5736E+01,  0.7420E-01,  0.1474E+02,  0.3267E+02,  0.0000E+00
  0.5839E+01,  0.7522E-01,  0.1629E+02,  0.3119E+02,  0.0000E+00
  0.5943E+01,  0.7625E-01,  0.1784E+02,  0.3062E+02,  0.0000E+00
  0.6046E+01,  0.7727E-01,  0.1714E+02,  0.3041E+02,  0.0000E+00
  0.6149E+01,  0.7830E-01,  0.2375E+02,  0.3010E+02,  0.0000E+00
  0.6252E+01,  0.7795E-01,  0.2387E+02,  0.2854E+02,  0.0000E+00
  0.6355E+01,  0.7760E-01,  0.2357E+02,  0.2559E+02,  0.0000E+00
  0.5421E+01,  0.6960E-01,  0.2364E+02,  0.2482E+02,  0.0000E+00
  0.5261E+01,  0.6887E-01,  0.1855E+02,  0.2410E+02,  0.6176E+01
  0.5101E+01,  0.6814E-01,  0.1347E+02,  0.3027E+02,  0.3885E+01
  0.4941E+01,  0.6741E-01,  0.1810E+02,  0.3416E+02,  0.2319E+01
  0.4782E+01,  0.6668E-01,  0.2273E+02,  0.3648E+02,  0.2834E+01
  0.4622E+01,  0.6595E-01,  0.2335E+02,  0.3931E+02,  0.3628E+01
  0.4462E+01,  0.6522E-01,  0.2398E+02,  0.4294E+02,  0.3030E+01
  0.4302E+01,  0.6449E-01,  0.1196E+02,  0.4597E+02,  0.1776E+01
  0.4143E+01,  0.6376E-01,  0.1069E+02,  0.4774E+02,  0.0000E+00
  0.3983E+01,  0.6303E-01,  0.9424E+01,  0.4739E+02,  0.0000E+00
  0.3823E+01,  0.6230E-01,  0.2354E+02,  0.4556E+02,  0.0000E+00
  0.3663E+01,  0.6157E-01,  0.6716E+01,  0.4399E+02,  0.0000E+00
  0.3504E+01,  0.6084E-01,  0.8003E+01,  0.4142E+02,  0.0000E+00
  0.3344E+01,  0.6011E-01,  0.9291E+01,  0.3842E+02,  0.0000E+00
  0.3184E+01,  0.5938E-01,  0.1535E+02,  0.3585E+02,  0.0000E+00
  0.3024E+01,  0.5865E-01,  0.2141E+02,  0.3190E+02,  0.0000E+00
  0.2865E+01,  0.5792E-01,  0.2230E+02,  0.3087E+02,  0.1670E+01
  0.2705E+01,  0.5719E-01,  0.2318E+02,  0.3254E+02,  0.2308E+01
  0.2545E+01,  0.5646E-01,  0.2407E+02,  0.3485E+02,  0.1403E+01
  0.2385E+01,  0.5573E-01,  0.2495E+02,  0.3626E+02,  0.6641E-01
  0.2226E+01,  0.5500E-01,  0.2526E+02,  0.3632E+02,  0.0000E+00
  0.4303E+01,  0.4580E-01,  0.2547E+02,  0.3576E+02,  0.0000E+00
  0.4462E+01,  0.5067E-01,  0.2550E+02,  0.3502E+02,  0.0000E+00
  0.3503E+01,  0.5168E-01,  0.1872E+02,  0.3362E+02,  0.0000E+00
  0.2543E+01,  0.5269E-01,  0.1193E+02,  0.3241E+02,  0.0000E+00
  0.1584E+01,  0.5370E-01,  0.1877E+02,  0.3141E+02,  0.0000E+00
  0.6254E+00,  0.5471E-01,  0.2560E+02,  0.3031E+02,  0.0000E+00
  0.1303E+01,  0.5572E-01,  0.2034E+02,  0.2864E+02,  0.0000E+00
  0.1981E+01,  0.5673E-01,  0.1509E+02,  0.2606E+02,  0.0000E+00
  0.2659E+01,  0.5774E-01,  0.2692E+02,  0.2522E+02,  0.0000E+00
  0.3337E+01,  0.5875E-01,  0.2462E+02,  0.2454E+02,  0.0000E+00
  0.4014E+01,  0.5976E-01,  0.2331E+02,  0.2314E+02,  0.0000E+00
  0.4692E+01,  0.6077E-01,  0.9687E+01,  0.2232E+02,  0.0000E+00
  0.5370E+01,  0.6178E-01,  0.1189E+02,  0.2217E+02,  0.0000E+00
