time    Pop1        Pop2
14.02778 0.15373E+02 0.42281E+01
14.09722 0.15715E+02 0.40995E+01
14.16667 0.16067E+02 0.39759E+01
14.23611 0.16430E+02 0.38569E+01
14.30556 0.16804E+02 0.37424E+01
14.37500 0.17189E+02 0.36323E+01
14.44444 0.17586E+02 0.35264E+01
14.51389 0.17994E+02 0.34245E+01
14.58333 0.18414E+02 0.33266E+01
14.65278 0.18847E+02 0.32323E+01
14.72222 0.19292E+02 0.31418E+01
14.79167 0.19750E+02 0.30547E+01
14.86111 0.20222E+02 0.29710E+01
14.93056 0.20707E+02 0.28905E+01
15.00000 0.21206E+02 0.28132E+01
15.06944 0.21720E+02 0.27389E+01
15.13889 0.22248E+02 0.26675E+01
15.20833 0.22791E+02 0.25990E+01
15.27778 0.23350E+02 0.25332E+01
15.34722 0.23924E+02 0.24700E+01
15.41667 0.24515E+02 0.24094E+01
15.48611 0.25122E+02 0.23512E+01
15.55556 0.25746E+02 0.22955E+01
15.62500 0.26388E+02 0.22420E+01
15.69444 0.27048E+02 0.21908E+01
15.76389 0.27727E+02 0.21417E+01
15.83333 0.28424E+02 0.20948E+01
15.90278 0.29140E+02 0.20498E+01
15.97222 0.29877E+02 0.20069E+01
16.04167 0.30634E+02 0.19658E+01
16.11111 0.31412E+02 0.19267E+01
16.18056 0.32211E+02 0.18893E+01
16.25000 0.33032E+02 0.18537E+01
16.31944 0.33876E+02 0.18199E+01
16.38889 0.34743E+02 0.17877E+01
16.45833 0.35634E+02 0.17572E+01
16.52778 0.36549E+02 0.17282E+01
16.59722 0.37489E+02 0.17009E+01
16.66667 0.38455E+02 0.16750E+01
16.73611 0.39447E+02 0.16507E+01
16.80556 0.40466E+02 0.16279E+01
16.87500 0.41512E+02 0.16066E+01
16.94444 0.42587E+02 0.15867E+01
17.01389 0.43691E+02 0.15682E+01
17.08333 0.44824E+02 0.15511E+01
17.15278 0.45988E+02 0.15355E+01
17.22222 0.47183E+02 0.15212E+01
17.29167 0.48410E+02 0.15084E+01
17.36111 0.49670E+02 0.14970E+01
17.43056 0.50964E+02 0.14869E+01
17.50000 0.52291E+02 0.14783E+01
17.56944 0.53654E+02 0.14711E+01
17.63889 0.55053E+02 0.14653E+01
17.70833 0.56489E+02 0.14610E+01
17.77778 0.57962E+02 0.14582E+01
17.84722 0.59475E+02 0.14569E+01
17.91667 0.61026E+02 0.14572E+01
17.98611 0.62618E+02 0.14590E+01
18.05556 0.64251E+02 0.14625E+01
18.12500 0.65927E+02 0.14677E+01
18.19444 0.67646E+02 0.14746E+01
18.26389 0.69408E+02 0.14834E+01
18.33333 0.71216E+02 0.14940E+01
